Index,Start Time,End Time,Start Time (sec),Text,Movie,Analysis,Language,Sadness,Joy,Fear,Disgust,Anger
49,0:8:12,0:8:14,492,I know. It's her fault.,The Matrix,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 23,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.348694,
        ""joy"": 0.179583,
        ""fear"": 0.110518,
        ""disgust"": 0.048989,
        ""anger"": 0.154399
      }
    }
  }
}",en,0.348694,0.179583,0.110518,0.048989,0.154399
50,0:8:14,0:8:16,494,You got the money?,The Matrix,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 18,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.172787,
        ""joy"": 0.169004,
        ""fear"": 0.184218,
        ""disgust"": 0.04813,
        ""anger"": 0.09323
      }
    }
  }
}",en,0.172787,0.169004,0.184218,0.04813,0.09323
51,0:8:17,0:8:18,497,Two grand.,The Matrix,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 10,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.174234,
        ""joy"": 0.696669,
        ""fear"": 0.0716,
        ""disgust"": 0.008328,
        ""anger"": 0.049789
      }
    }
  }
}",en,0.174234,0.696669,0.0716,0.008328,0.049789
52,0:8:19,0:8:20,499,Hold on.,The Matrix,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 8,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.210634,
        ""joy"": 0.258206,
        ""fear"": 0.095491,
        ""disgust"": 0.034369,
        ""anger"": 0.101906
      }
    }
  }
}",en,0.210634,0.258206,0.095491,0.034369,0.101906
53,0:8:38,0:8:39,518,Hallelujah.,The Matrix,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 11,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.083165,
        ""joy"": 0.922956,
        ""fear"": 0.040554,
        ""disgust"": 0.008234,
        ""anger"": 0.011346
      }
    }
  }
}",en,0.083165,0.922956,0.040554,0.008234,0.011346
54,0:8:40,0:8:43,520,You're my savior. My own personal Jesus Christ.,The Matrix,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 47,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.102928,
        ""joy"": 0.459266,
        ""fear"": 0.033072,
        ""disgust"": 0.023776,
        ""anger"": 0.293844
      }
    }
  }
}",en,0.102928,0.459266,0.033072,0.023776,0.293844
55,0:8:43,0:8:45,523,You get caught using that...,The Matrix,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 28,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.221823,
        ""joy"": 0.033677,
        ""fear"": 0.38567,
        ""disgust"": 0.068148,
        ""anger"": 0.154314
      }
    }
  }
}",en,0.221823,0.033677,0.38567,0.068148,0.154314
56,0:8:45,0:8:47,525,I know. This never happened. You don't exist.,The Matrix,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 45,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.424065,
        ""joy"": 0.146057,
        ""fear"": 0.12416,
        ""disgust"": 0.032178,
        ""anger"": 0.111823
      }
    }
  }
}",en,0.424065,0.146057,0.12416,0.032178,0.111823
57,0:8:48,0:8:50,528," Right.  Something wrong, man?",The Matrix,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 30,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.343372,
        ""joy"": 0.186962,
        ""fear"": 0.176131,
        ""disgust"": 0.052043,
        ""anger"": 0.123513
      }
    }
  }
}",en,0.343372,0.186962,0.176131,0.052043,0.123513
58,0:8:51,0:8:53,531,You look a little whiter than usual.,The Matrix,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 36,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.381789,
        ""joy"": 0.14682,
        ""fear"": 0.108939,
        ""disgust"": 0.03767,
        ""anger"": 0.028195
      }
    }
  }
}",en,0.381789,0.14682,0.108939,0.03767,0.028195
